"filename", "language", "Markdown", "Python", "pip requirements", "Properties", "Docker", "Ini", "YAML", "Shell Script", "Jupyter", "Makefile", "Batch", "comment", "blank", "total"
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\centripetalnet\README.md", "Markdown", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 27
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\centripetalnet\centripetalnet_hourglass104_mstest_16x6_210e_coco.py", "Python", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 106
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\centripetalnet\metafile.yml", "YAML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cityscapes\README.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 34
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cityscapes\faster_rcnn_r50_fpn_1x_cityscapes.py", "Python", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 40
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cityscapes\mask_rcnn_r50_fpn_1x_cityscapes.py", "Python", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 47
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\common\mstrain-poly_3x_coco_instance.py", "Python", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 81
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\common\mstrain_3x_coco.py", "Python", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 77
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\common\mstrain_3x_coco_instance.py", "Python", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 77
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cornernet\README.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 34
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cornernet\cornernet_hourglass104_mstest_10x5_210e_coco.py", "Python", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 106
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cornernet\cornernet_hourglass104_mstest_32x3_210e_coco.py", "Python", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 106
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cornernet\cornernet_hourglass104_mstest_8x6_210e_coco.py", "Python", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 106
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cornernet\metafile.yml", "YAML", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 4, 59
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\README.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 53
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\cascade_mask_rcnn_r101_fpn_dconv_c3-c5_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\dcn\cascade_mask_rcnn_r50_fpn_dconv_c3-c5_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
